location,EW,EW_start_date,pop,cases
C,202201,2022-01-02,89072,2.402235819795376
C,202202,2022-01-09,89072,1.9103969427551577
C,202203,2022-01-16,89072,3.1157696043993397
C,202204,2022-01-23,89072,3.869219235504933
C,202205,2022-01-30,89072,3.715259794119599
C,202206,2022-02-06,89072,3.3306442862902963
C,202207,2022-02-13,89072,1.2242249376796863
C,202208,2022-02-20,89072,1.6650439338547487
C,202209,2022-02-27,89072,0.5777792527432479
C,202210,2022-03-06,89072,2.7138635488899783
C,202211,2022-03-13,89072,0.6998952698224982
C,202212,2022-03-20,89072,1.43680115634817
C,202213,2022-03-27,89072,1.9199346175480514
C,202214,2022-04-03,89072,2.738234128975047
C,202215,2022-04-10,89072,2.5980401988036013
C,202216,2022-04-17,89072,3.403076419131433
C,202217,2022-04-24,89072,3.0535697408166227
C,202218,2022-05-01,89072,2.904502166916364
C,202219,2022-05-08,89072,3.215919130152047
C,202220,2022-05-15,89072,4.0535452378484145
C,202221,2022-05-22,89072,4.315301714533091
C,202222,2022-05-29,89072,3.5571728980245414
C,202223,2022-06-05,89072,3.2785508886349986
C,202224,2022-06-12,89072,3.5379501721901776
C,202225,2022-06-19,89072,2.372399704542914
C,202226,2022-06-26,89072,2.384453801204626
C,202227,2022-07-03,89072,1.8454804940499774
C,202228,2022-07-10,89072,0.42418920291756046
C,202229,2022-07-17,89072,2.1801846626574513
C,202230,2022-07-24,89072,1.7241888461576502
C,202231,2022-07-31,89072,0.794408840764846
C,202232,2022-08-07,89072,0.5189332168870526
C,202233,2022-08-14,89072,1.0385133837992366
C,202234,2022-08-21,89072,2.1515628989273603
C,202235,2022-08-28,89072,1.8165435297321426
C,202236,2022-09-04,89072,2.6005560029362993
C,202237,2022-09-11,89072,4.939243058855598
C,202238,2022-09-18,89072,3.7515726592739087
C,202239,2022-09-25,89072,3.883677407535349
C,202240,2022-10-02,89072,6.273044791337597
C,202241,2022-10-09,89072,3.9417606198502506
C,202242,2022-10-16,89072,3.4764360112935035
C,202243,2022-10-23,89072,2.4278505393376135
C,202244,2022-10-30,89072,3.167548620283543
C,202245,2022-11-06,89072,3.08914057824837
C,202246,2022-11-13,89072,2.954458570173329
C,202247,2022-11-20,89072,3.65563388614203
C,202248,2022-11-27,89072,2.9862130985281174
C,202249,2022-12-04,89072,3.9744178088716406
C,202250,2022-12-11,89072,3.234080714906733
C,202251,2022-12-18,89072,1.5517387420139286
C,202252,2022-12-25,89072,2.44291182652033
C,202301,2023-01-01,89072,5.671587435847763
C,202302,2023-01-08,89072,4.340646379619959
C,202303,2023-01-15,89072,5.011541772966643
C,202304,2023-01-22,89072,3.364338627208451
C,202305,2023-01-29,89072,4.113358055457728
C,202306,2023-02-05,89072,3.196828415115707
C,202307,2023-02-12,94345,2.2408433169674513
C,202308,2023-02-19,94345,3.026248176171741
C,202309,2023-02-26,94345,2.761103482996754
C,202310,2023-03-05,94345,1.3392325769087923
C,202311,2023-03-12,94345,1.573403942204671
C,202312,2023-03-19,94345,1.6234557088775095
C,202313,2023-03-26,94345,1.0408557770038678
C,202314,2023-04-02,94345,1.6446492265963393
C,202315,2023-04-09,94345,1.425972098223843
C,202316,2023-04-16,94345,2.331809899007133
C,202317,2023-04-23,94345,1.9911613618448663
C,202318,2023-04-30,94345,1.8250076730138303
C,202319,2023-05-07,94345,1.4383351197037038
C,202320,2023-05-14,94345,1.4216047474012452
C,202321,2023-05-21,94345,1.500784653828158
C,202322,2023-05-28,94345,2.6010993010012546
C,202323,2023-06-04,94345,0.9014204945530901
C,202324,2023-06-11,94345,3.338456790133185
C,202325,2023-06-18,94345,4.172871734521861
C,202326,2023-06-25,94345,2.6306916946310914
