location,EW,EW_start_date,pop,cases
F,202201,2022-01-02,267036,0.5825871756509338
F,202202,2022-01-09,267036,0.35830439294876526
F,202203,2022-01-16,267036,0.2588304166595514
F,202204,2022-01-23,267036,-1.1979886866908316
F,202205,2022-01-30,267036,-0.21732312057271952
F,202206,2022-02-06,267036,-0.1236179785502809
F,202207,2022-02-13,267036,0.2022802244415569
F,202208,2022-02-20,267036,-0.10599077698884374
F,202209,2022-02-27,267036,0.5767694886489004
F,202210,2022-03-06,267036,1.2840056805833078
F,202211,2022-03-13,267036,3.424472389524486
F,202212,2022-03-20,267036,3.2961794400135176
F,202213,2022-03-27,267036,4.666426914691385
F,202214,2022-04-03,267036,12.242025241326052
F,202215,2022-04-10,267036,9.672146485349245
F,202216,2022-04-17,267036,9.711763499245041
F,202217,2022-04-24,267036,11.251387235298136
F,202218,2022-05-01,267036,11.025146651036236
F,202219,2022-05-08,267036,15.719676646602892
F,202220,2022-05-15,267036,12.580512473720914
F,202221,2022-05-22,267036,14.065066952585129
F,202222,2022-05-29,267036,12.579776967262198
F,202223,2022-06-05,267036,18.685759220486712
F,202224,2022-06-12,267036,9.679931692616577
F,202225,2022-06-19,267036,7.364117358407868
F,202226,2022-06-26,267036,6.444747783980017
F,202227,2022-07-03,267036,6.887322171685104
F,202228,2022-07-10,267036,6.720929711290338
F,202229,2022-07-17,267036,3.990254587385655
F,202230,2022-07-24,267036,2.2647660341231743
F,202231,2022-07-31,267036,3.426043801917526
F,202232,2022-08-07,267036,2.343036029084919
F,202233,2022-08-14,267036,2.896832407882119
F,202234,2022-08-21,267036,1.3431913661710888
F,202235,2022-08-28,267036,2.2997732573777343
F,202236,2022-09-04,267036,0.6933593526942862
F,202237,2022-09-11,267036,0.6731106266129813
F,202238,2022-09-18,267036,0.7258562186140514
F,202239,2022-09-25,267036,0.23360323552118212
F,202240,2022-10-02,267036,-1.0426385550024084
F,202241,2022-10-09,267036,-0.6362482757643748
F,202242,2022-10-16,267036,0.6177075976382722
F,202243,2022-10-23,267036,0.8855760497505683
F,202244,2022-10-30,267036,-0.4815153908671863
F,202245,2022-11-06,267036,-1.4535127529557383
F,202246,2022-11-13,267036,-1.1694436215913584
F,202247,2022-11-20,267036,-0.6524839944254
F,202248,2022-11-27,267036,-0.9465612778811747
F,202249,2022-12-04,267036,0.019855974528029785
F,202250,2022-12-11,267036,-1.3376342067344351
F,202251,2022-12-18,267036,-2.7744080946274865
F,202252,2022-12-25,267036,-2.3077895050956823
F,202301,2023-01-01,267036,-0.8036818340050977
F,202302,2023-01-08,267036,-0.7585410903256233
F,202303,2023-01-15,267036,-0.712241537799134
F,202304,2023-01-22,267036,1.1119616974703346
F,202305,2023-01-29,267036,-0.561206103550018
F,202306,2023-02-05,267036,-0.11967146988960353
F,202307,2023-02-12,252950,0.6527289920628412
F,202308,2023-02-19,252950,0.4627310131604314
F,202309,2023-02-26,252950,0.9959329519104816
F,202310,2023-03-05,252950,1.327284429589471
F,202311,2023-03-12,252950,0.6121128953401503
F,202312,2023-03-19,252950,0.6197098658212402
F,202313,2023-03-26,252950,0.9869492814246854
F,202314,2023-04-02,252950,-0.03237659442399354
F,202315,2023-04-09,252950,0.6514254569004186
F,202316,2023-04-16,252950,1.2862049145513077
F,202317,2023-04-23,252950,-0.018519474157873805
F,202318,2023-04-30,252950,0.6360004194667729
F,202319,2023-05-07,252950,0.8120517146073574
F,202320,2023-05-14,252950,1.1899670357399301
F,202321,2023-05-21,252950,0.62790491570317
F,202322,2023-05-28,252950,-0.34301455717058293
F,202323,2023-06-04,252950,2.1580384973934197
F,202324,2023-06-11,252950,2.0521981643683516
F,202325,2023-06-18,252950,2.8117267051038644
F,202326,2023-06-25,252950,2.51419640389448
