location,EW,EW_start_date,cases,p_rt1,p_inc100k,alert,Rt,transmission,epidemic_threshold
A,201501,2015-01-04,370,1.0,3.001972,2,3.4341493,1,1
A,201502,2015-01-11,389,1.0,3.1561272,3,2.3716831,1,1
A,201503,2015-01-18,640,1.0,5.1926003,3,2.166121,1,1
A,201504,2015-01-25,870,1.0,7.0586905,3,1.9337232,1,2
A,201505,2015-02-01,1498,1.0,12.15393,3,2.266027,1,2
A,201506,2015-02-08,1937,1.0,15.715729,4,1.9533235,1,2
A,201507,2015-02-15,3163,1.0,25.662804,4,2.1315043,1,2
A,201508,2015-02-22,4942,1.0,40.096607,4,2.2288759,1,2
A,201509,2015-03-01,7568,1.0,61.402496,4,2.2129982,1,2
A,201510,2015-03-08,10207,1.0,82.81386,4,1.9514077,1,2
A,201511,2015-03-15,12367,1.0,100.33888,4,1.6419113,1,2
A,201512,2015-03-22,5016,0.0,40.697002,4,0.53092784,0,2
A,201513,2015-03-29,4058,0.0,32.924328,4,0.4378853,0,2
A,201514,2015-04-05,4824,0.0,39.13922,4,0.7072061,0,2
A,201515,2015-04-12,4498,1.1868266e-06,36.494244,4,0.90745616,0,2
A,201516,2015-04-19,4399,0.045145273,35.691013,4,0.964839,0,2
A,201517,2015-04-26,3725,1.110223e-16,30.222555,4,0.83328664,0,2
A,201518,2015-05-03,2777,0.0,22.531015,4,0.6653518,0,2
A,201519,2015-05-10,1754,0.0,14.230969,4,0.48968107,0,2
A,201520,2015-05-17,1082,0.0,8.778739,4,0.3934358,0,2
A,201521,2015-05-24,738,0.0,5.9877167,4,0.38953298,0,2
A,201522,2015-05-31,600,0.0,4.8680625,4,0.48619288,0,1
A,201523,2015-06-07,403,0.0,3.2697153,1,0.48514178,0,1
A,201524,2015-06-14,268,0.0,2.1744013,1,0.4492932,0,1
A,201525,2015-06-21,203,0.0,1.6470279,1,0.47580656,0,1
A,201526,2015-06-28,355,0.964532,2.8802702,1,1.1506163,1,1
A,201527,2015-07-05,272,0.5182171,2.206855,1,1.0039254,0,1
A,201528,2015-07-12,274,0.28158402,2.2230818,1,0.9524103,0,1
A,201529,2015-07-19,232,0.009303577,1.8823175,1,0.8127788,0,1
A,201530,2015-07-26,189,0.00030233787,1.5334396,1,0.72255814,0,1
A,201531,2015-08-02,150,2.289449e-05,1.2170156,1,0.6551016,0,1
A,201532,2015-08-09,180,0.24059756,1.4604187,1,0.9297613,0,1
A,201533,2015-08-16,138,0.03238687,1.1196544,1,0.81006616,0,1
A,201534,2015-08-23,103,0.00028964548,0.83568406,1,0.65054905,0,0
A,201535,2015-08-30,110,0.03520389,0.8924781,1,0.79457676,0,0
A,201536,2015-09-06,87,0.019861981,0.7058691,1,0.74867177,0,0
A,201537,2015-09-13,135,0.97217464,1.095314,1,1.280644,1,1
A,201538,2015-09-20,155,0.99796635,1.2575828,3,1.4278294,1,1
A,201539,2015-09-27,171,0.99362683,1.3873978,3,1.3353032,1,1
A,201540,2015-10-04,173,0.89576864,1.4036247,3,1.1501265,0,1
A,201541,2015-10-11,192,0.91865414,1.55778,1,1.1591332,0,1
A,201542,2015-10-18,199,0.8767211,1.6145741,1,1.126998,0,1
A,201543,2015-10-25,188,0.526845,1.5253263,1,1.0069742,0,1
A,201544,2015-11-01,215,0.86152494,1.744389,1,1.1136107,0,1
A,201545,2015-11-08,290,0.99996585,2.352897,1,1.435711,1,1
A,201546,2015-11-15,326,0.99997485,2.6449807,3,1.4133713,1,1
A,201547,2015-11-22,414,0.9999998,3.3589633,3,1.4785193,1,1
A,201548,2015-11-29,528,1.0,4.283895,3,1.5466727,1,1
