location,date,temperature_2m_min,temperature_2m_max,temperature_2m_mean,apparent_temperature_min,apparent_temperature_max,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,precipitation_sum,precipitation_hours,rain_sum,showers_sum,precipitation_probability_min,precipitation_probability_max,precipitation_probability_mean,sunshine_duration,daylight_duration,shortwave_radiation_sum,cloud_cover_mean,dew_point_2m_min,dew_point_2m_max,dew_point_2m_mean,relative_humidity_2m_mean,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration
A,2015-01-04,21.036999,25.387,22.459915,23.57125,29.486015,25.565351,14.587776,28.44,137.45909,20.9,12.0,20.9,0.0,,,,28601.842,48720.734,16.83,95.375,20.137,21.237,20.557833,89.229454,0.4825833,3.1624436
A,2015-01-05,20.087,24.887,22.007833,22.368402,27.663261,24.436419,14.565548,32.039997,112.94459,5.9,7.0,5.9,0.0,,,,25460.375,48692.746,13.23,91.958336,19.437,21.036999,20.205751,89.89608,0.47941664,2.5861623
A,2015-01-06,19.987,27.536999,22.6495,22.408318,32.885635,25.724691,11.966953,24.84,74.577774,10.3,8.0,10.3,0.0,,,,42821.53,48662.836,22.07,72.541664,19.337,20.887,20.084915,86.23284,0.4828333,4.246061
A,2015-01-07,19.987,30.137,24.416168,22.608006,35.06639,27.825201,11.090103,28.08,7.339958,5.8,6.0,5.8,0.0,,,,45272.984,48631.062,26.56,25.583334,18.887,21.137,20.078665,78.65423,0.4611667,5.410966
A,2015-01-08,19.687,29.937,24.536997,22.005758,34.98541,28.000359,9.178235,27.72,332.4255,2.6000001,5.0,2.6000001,0.0,,,,45250.953,48597.492,28.29,19.083334,18.837,21.087,19.784918,76.666115,0.47216663,5.7354236
A,2015-01-09,20.786999,30.786999,25.834917,23.986227,34.04883,29.16069,13.755579,32.399998,310.42175,1.2,2.0,1.2,0.0,,,,45260.2,48562.176,27.07,22.625,18.036999,22.187,20.057833,72.78722,0.4657916,5.716456
A,2015-01-10,21.437,31.387,25.932833,24.600193,36.94444,29.646383,10.805998,30.599998,276.85138,1.3,4.0,1.3,0.0,,,,45194.984,48525.188,27.11,27.666666,20.187,22.687,20.874502,75.19355,0.42695832,5.6928883
A,2015-01-11,21.987,31.687,25.853666,25.957104,36.583675,30.132416,11.440978,28.44,102.32476,2.5,4.0,2.5,0.0,,,,42927.56,48486.58,25.98,49.375,20.337,23.837,21.766165,80.416664,0.42716667,5.435527
A,2015-01-12,22.536999,33.037,26.805748,27.196808,38.304302,31.456663,11.4862,32.760002,359.47433,2.9,2.0,2.9,0.0,,,,44578.49,48446.414,27.37,42.958332,18.937,23.987,21.995333,78.38305,0.410625,5.850305
A,2015-01-13,23.187,29.137,25.959915,27.3672,35.7775,30.832876,11.200571,32.039997,114.460175,2.8999999,4.0,2.8999999,0.0,,,,45284.477,48404.75,25.51,24.041666,21.286999,24.087,22.591166,82.38744,0.405,5.1534038
