location,EW,EW_start_date,pop,cases
B,202101,2021-01-03,413418,66.65237954212205
B,202102,2021-01-10,413418,64.27601066843103
B,202103,2021-01-17,413418,101.42172069658149
B,202104,2021-01-24,413418,92.70732925071431
B,202105,2021-01-31,413418,90.47128417819577
B,202106,2021-02-07,413418,90.70013344177583
B,202107,2021-02-14,413418,108.96504280824097
B,202108,2021-02-21,413418,103.43770723262068
B,202109,2021-02-28,413418,98.4389184971726
B,202110,2021-03-07,413418,88.43542697140501
B,202111,2021-03-14,413418,50.885573433582735
B,202112,2021-03-21,413418,30.29690353689056
B,202113,2021-03-28,413418,22.224595434471937
B,202114,2021-04-04,413418,15.811956598363247
B,202115,2021-04-11,413418,14.557854775901085
B,202116,2021-04-18,413418,7.746225175167588
B,202117,2021-04-25,413418,1.4359038338671937
B,202118,2021-05-02,413418,-0.17895419647081745
B,202119,2021-05-09,413418,-1.2828251249320868
B,202120,2021-05-16,413418,-4.42795760821353
B,202121,2021-05-23,413418,-5.267277049782239
B,202122,2021-05-30,413418,-8.460749705702868
B,202123,2021-06-06,413418,-10.208073563475585
B,202124,2021-06-13,413418,-11.40479812770671
B,202125,2021-06-20,413418,-14.076307495103206
B,202126,2021-06-27,413418,-11.163841376504168
B,202127,2021-07-04,413418,-11.684836190595972
B,202128,2021-07-11,413418,-13.433288368910498
B,202129,2021-07-18,413418,-11.317833475906403
B,202130,2021-07-25,413418,-11.0861917607785
B,202131,2021-08-01,413418,-11.393916847794545
B,202132,2021-08-08,413418,-11.38041468921235
B,202133,2021-08-15,413418,-10.36299632248364
B,202134,2021-08-22,413418,-11.791032995648395
B,202135,2021-08-29,413418,-12.308727757291694
B,202136,2021-09-05,413418,-6.835036178761589
B,202137,2021-09-12,413418,-10.646946937899349
B,202138,2021-09-19,413418,-8.529353492446377
B,202139,2021-09-26,413418,-8.681680083792441
B,202140,2021-10-03,413418,-8.356100888394279
B,202141,2021-10-10,413418,-7.394689358539868
B,202142,2021-10-17,413418,-7.297128913137682
B,202143,2021-10-24,413418,-7.267734316977853
B,202144,2021-10-31,413418,-6.442374186502862
B,202145,2021-11-07,413418,-9.26546149653633
B,202146,2021-11-14,413418,-9.063792785788477
B,202147,2021-11-21,413418,-10.77778548336993
B,202148,2021-11-28,413418,-10.858923158093438
B,202149,2021-12-05,413418,-10.55372223857466
B,202150,2021-12-12,413418,-8.314210435341325
B,202151,2021-12-19,413418,-20.17627543491352
B,202152,2021-12-26,413418,-21.079261349944744
B,202201,2022-01-02,413418,-9.244657066979228
B,202202,2022-01-09,413418,-8.770995151999132
B,202203,2022-01-16,413418,-7.630147572553335
B,202204,2022-01-23,413418,-9.69499043536477
B,202205,2022-01-30,413418,-11.426776584590728
B,202206,2022-02-06,413418,-11.85925567577351
B,202207,2022-02-13,413418,-15.396822142193171
B,202208,2022-02-20,413418,-15.79178875979043
B,202209,2022-02-27,413418,-11.962690279998546
B,202210,2022-03-06,413418,-17.175323199643344
B,202211,2022-03-13,413418,-17.081707236948127
B,202212,2022-03-20,413418,-15.52091391869376
B,202213,2022-03-27,413418,-16.2234786222567
B,202214,2022-04-03,413418,-13.912521317240403
B,202215,2022-04-10,413418,-14.511672072197074
B,202216,2022-04-17,413418,-13.224487319869874
B,202217,2022-04-24,413418,-13.499706263697087
B,202218,2022-05-01,413418,-12.939919749771375
B,202219,2022-05-08,413418,-14.748279757928215
B,202220,2022-05-15,413418,-15.483141206794558
B,202221,2022-05-22,413418,-14.660570783471401
B,202222,2022-05-29,413418,-16.445702351716164
B,202223,2022-06-05,413418,-14.698952770040977
B,202224,2022-06-12,413418,-14.912197280917903
B,202225,2022-06-19,413418,-15.43625115291656
B,202226,2022-06-26,413418,-17.753503550307137
B,202227,2022-07-03,413418,-19.693389932033334
B,202228,2022-07-10,413418,-21.271678504843308
B,202229,2022-07-17,413418,-22.526634525503567
B,202230,2022-07-24,413418,-23.276610093302523
B,202231,2022-07-31,413418,-22.965513595959884
B,202232,2022-08-07,413418,-23.65450753274171
B,202233,2022-08-14,413418,-16.92522529373784
B,202234,2022-08-21,413418,-14.538721862629076
B,202235,2022-08-28,413418,-13.780716312249071
B,202236,2022-09-04,413418,-12.758066243535799
B,202237,2022-09-11,413418,-10.26968336885111
B,202238,2022-09-18,413418,-9.224110579075363
B,202239,2022-09-25,413418,-5.426609428886161
B,202240,2022-10-02,413418,-8.945988707986197
B,202241,2022-10-09,413418,-10.244366019532512
B,202242,2022-10-16,413418,-10.960970446494978
B,202243,2022-10-23,413418,-12.357022951562696
B,202244,2022-10-30,413418,-10.940903690940514
B,202245,2022-11-06,413418,-12.69489719899112
B,202246,2022-11-13,413418,-12.894229910737591
B,202247,2022-11-20,413418,-11.915809901871162
B,202248,2022-11-27,413418,-9.967355403351577
B,202249,2022-12-04,413418,-13.86055021293347
B,202250,2022-12-11,413418,-13.217583812600322
B,202251,2022-12-18,413418,-13.119497175162559
B,202252,2022-12-25,413418,-13.151082595820439
B,202301,2023-01-01,413418,-4.897858989534555
B,202302,2023-01-08,413418,-4.947176437544673
B,202303,2023-01-15,413418,-5.409067030922735
B,202304,2023-01-22,413418,-2.1323049954577176
B,202305,2023-01-29,413418,2.4873678523411646
B,202306,2023-02-05,413418,6.115877129922037
B,202307,2023-02-12,364368,2.4061660516705654
B,202308,2023-02-19,364368,0.43918509366891634
B,202309,2023-02-26,364368,16.767488009366506
B,202310,2023-03-05,364368,18.29944719997382
B,202311,2023-03-12,364368,26.230892391392636
B,202312,2023-03-19,364368,20.821728148442734
B,202313,2023-03-26,364368,40.68185230886159
B,202314,2023-04-02,364368,27.667491838409966
B,202315,2023-04-09,364368,62.592806978542896
B,202316,2023-04-16,364368,41.93469417126942
B,202317,2023-04-23,364368,27.34926206565094
B,202318,2023-04-30,364368,25.322361158765027
B,202319,2023-05-07,364368,13.728705675040827
B,202320,2023-05-14,364368,-6.773900040001466
B,202321,2023-05-21,364368,-12.112396348799349
B,202322,2023-05-28,364368,-17.844552446164315
B,202323,2023-06-04,364368,-17.88553719129422
B,202324,2023-06-11,364368,-13.502658976357568
B,202325,2023-06-18,364368,-16.457571874428986
B,202326,2023-06-25,364368,-14.385163322873373
B,202327,2023-07-02,364368,-15.618705344027594
B,202328,2023-07-09,364368,-14.479187656168472
B,202329,2023-07-16,364368,-17.29645665528588
B,202330,2023-07-23,364368,-20.774426386686365
B,202331,2023-07-30,364368,-20.073567219452457
B,202332,2023-08-06,364368,-20.711568889123377
B,202333,2023-08-13,364368,-20.24891082023361
B,202334,2023-08-20,364368,-17.711936728855008
B,202335,2023-08-27,364368,-14.810285600371886
B,202336,2023-09-03,364368,-17.20949439833816
B,202337,2023-09-10,364368,-12.449794925920598
B,202338,2023-09-17,364368,-11.344512174218105
B,202339,2023-09-24,364368,-9.899782567464284
B,202340,2023-10-01,364368,-6.6592045182006725
B,202341,2023-10-08,364368,-3.9446924678622803
B,202342,2023-10-15,364368,4.670881533220843
B,202343,2023-10-22,364368,11.438492638028965
B,202344,2023-10-29,364368,20.456949003157526
B,202345,2023-11-05,364368,34.416277168993695
B,202346,2023-11-12,364368,37.913438380368724
B,202347,2023-11-19,364368,47.052143036022805
B,202348,2023-11-26,364368,69.65648817714865
B,202349,2023-12-03,364368,55.39844946372413
B,202350,2023-12-10,364368,65.83979376353203
B,202351,2023-12-17,364368,15.31073801555442
B,202352,2023-12-24,364368,61.12918791525818
