location,EW,EW_start_date,pop,cases
C,202201,2022-01-02,89072,2.2115389632816327
C,202202,2022-01-09,89072,2.2674496772384285
C,202203,2022-01-16,89072,2.7621396972752006
C,202204,2022-01-23,89072,2.458786790269969
C,202205,2022-01-30,89072,2.5198248623713964
C,202206,2022-02-06,89072,2.6212662912892
C,202207,2022-02-13,89072,2.5273001832778497
C,202208,2022-02-20,89072,2.571025810698977
C,202209,2022-02-27,89072,2.6326397696464476
C,202210,2022-03-06,89072,2.6231367547343436
C,202211,2022-03-13,89072,2.7724360427001993
C,202212,2022-03-20,89072,2.6937478158255987
C,202213,2022-03-27,89072,3.089960419253894
C,202214,2022-04-03,89072,3.043739606808256
C,202215,2022-04-10,89072,2.900970476196479
C,202216,2022-04-17,89072,3.057168791722289
C,202217,2022-04-24,89072,2.697350946513217
C,202218,2022-05-01,89072,2.7442656852904856
C,202219,2022-05-08,89072,2.664518108289784
C,202220,2022-05-15,89072,3.413136781175118
C,202221,2022-05-22,89072,3.5340314747009245
C,202222,2022-05-29,89072,3.016926615595555
C,202223,2022-06-05,89072,3.591656666664734
C,202224,2022-06-12,89072,3.7076416884486374
C,202225,2022-06-19,89072,3.676926956044536
C,202226,2022-06-26,89072,3.4146260032270734
C,202227,2022-07-03,89072,3.4308978105945283
C,202228,2022-07-10,89072,2.441112695278889
C,202229,2022-07-17,89072,2.3792446470659145
C,202230,2022-07-24,89072,2.3269123029657037
C,202231,2022-07-31,89072,2.34448459444244
C,202232,2022-08-07,89072,2.509695588957544
C,202233,2022-08-14,89072,2.9304344340073656
C,202234,2022-08-21,89072,3.5478407924479147
C,202235,2022-08-28,89072,3.5513273259460814
C,202236,2022-09-04,89072,3.395002103361184
C,202237,2022-09-11,89072,3.4085480093523186
C,202238,2022-09-18,89072,2.6366494763071575
C,202239,2022-09-25,89072,2.648581179890624
C,202240,2022-10-02,89072,2.8989085261719816
C,202241,2022-10-09,89072,2.3742715536165258
C,202242,2022-10-16,89072,2.5320125725920066
C,202243,2022-10-23,89072,2.24441525592248
C,202244,2022-10-30,89072,3.0026277311636944
C,202245,2022-11-06,89072,2.7866907093031816
C,202246,2022-11-13,89072,2.5470586822394496
C,202247,2022-11-20,89072,3.2838222944066926
C,202248,2022-11-27,89072,2.411812612625498
C,202249,2022-12-04,89072,2.4340896598506236
C,202250,2022-12-11,89072,2.4059426112335283
C,202251,2022-12-18,89072,2.323700199485447
C,202252,2022-12-25,89072,2.4545919832230196
C,202301,2023-01-01,89072,3.255963833486879
C,202302,2023-01-08,89072,3.2282029607621654
C,202303,2023-01-15,89072,3.5378272316762023
C,202304,2023-01-22,89072,3.3770558005610556
C,202305,2023-01-29,89072,3.1226604298317393
C,202306,2023-02-05,89072,3.263611139184055
C,202307,2023-02-12,94345,2.904372424760202
C,202308,2023-02-19,94345,2.8977376603931075
C,202309,2023-02-26,94345,3.0158693623601094
C,202310,2023-03-05,94345,2.844117882672159
C,202311,2023-03-12,94345,3.2598547334430608
C,202312,2023-03-19,94345,3.0459344068842107
C,202313,2023-03-26,94345,2.929927285494367
C,202314,2023-04-02,94345,3.168824929526907
C,202315,2023-04-09,94345,3.134475800678821
C,202316,2023-04-16,94345,3.0295956512568964
C,202317,2023-04-23,94345,3.112236899789484
C,202318,2023-04-30,94345,2.94530590488383
C,202319,2023-05-07,94345,2.934896852259439
C,202320,2023-05-14,94345,2.7077446123639533
C,202321,2023-05-21,94345,2.614248406984694
C,202322,2023-05-28,94345,2.8719583000568223
C,202323,2023-06-04,94345,2.535820540398598
C,202324,2023-06-11,94345,4.23155552738595
C,202325,2023-06-18,94345,4.546633955238967
C,202326,2023-06-25,94345,3.667100197847404
