location,EW,EW_start_date,pop,cases
D,202201,2022-01-02,890480,-5.441516939694807
D,202202,2022-01-09,890480,-6.360002765227172
D,202203,2022-01-16,890480,-6.088784268028501
D,202204,2022-01-23,890480,-4.548660030573991
D,202205,2022-01-30,890480,-4.047363648043326
D,202206,2022-02-06,890480,-3.8934827472286315
D,202207,2022-02-13,890480,-3.926815024714923
D,202208,2022-02-20,890480,-1.810038986183681
D,202209,2022-02-27,890480,-1.0521606574987228
D,202210,2022-03-06,890480,1.257949361052951
D,202211,2022-03-13,890480,2.401273425614413
D,202212,2022-03-20,890480,4.420975202609636
D,202213,2022-03-27,890480,9.759412387917136
D,202214,2022-04-03,890480,15.775776208045137
D,202215,2022-04-10,890480,24.683453098335224
D,202216,2022-04-17,890480,38.69530808132401
D,202217,2022-04-24,890480,47.59935956668903
D,202218,2022-05-01,890480,48.005315204542754
D,202219,2022-05-08,890480,49.642853656871836
D,202220,2022-05-15,890480,49.8176237598349
D,202221,2022-05-22,890480,47.99865471378102
D,202222,2022-05-29,890480,53.82314662583377
D,202223,2022-06-05,890480,44.95187444572284
D,202224,2022-06-12,890480,42.26495620498629
D,202225,2022-06-19,890480,32.49016548519219
D,202226,2022-06-26,890480,28.234274104258652
D,202227,2022-07-03,890480,24.24109028582462
D,202228,2022-07-10,890480,20.379125746330878
D,202229,2022-07-17,890480,16.867830572651275
D,202230,2022-07-24,890480,15.102105348731788
D,202231,2022-07-31,890480,10.068210410689169
D,202232,2022-08-07,890480,13.86780715049131
D,202233,2022-08-14,890480,13.364903243571748
D,202234,2022-08-21,890480,7.699746780176944
D,202235,2022-08-28,890480,4.2941021086534
D,202236,2022-09-04,890480,4.9955332941553925
D,202237,2022-09-11,890480,1.2777037108411253
D,202238,2022-09-18,890480,6.531602128646208
D,202239,2022-09-25,890480,4.7244834444771495
D,202240,2022-10-02,890480,2.745332719272511
D,202241,2022-10-09,890480,0.05184445252391612
D,202242,2022-10-16,890480,-0.2721665764289529
D,202243,2022-10-23,890480,0.19003400668510828
D,202244,2022-10-30,890480,-2.460164271141206
D,202245,2022-11-06,890480,0.2938616814426993
D,202246,2022-11-13,890480,-2.339675743869524
D,202247,2022-11-20,890480,-4.352472780401833
D,202248,2022-11-27,890480,-5.427201791197593
D,202249,2022-12-04,890480,-7.8812169779396335
D,202250,2022-12-11,890480,-2.744806405801249
D,202251,2022-12-18,890480,-8.775721306500447
D,202252,2022-12-25,890480,-10.678779420665578
D,202301,2023-01-01,890480,-6.415962247961719
D,202302,2023-01-08,890480,-7.412902162938398
D,202303,2023-01-15,890480,-8.016379381590031
D,202304,2023-01-22,890480,-7.770023729942178
D,202305,2023-01-29,890480,-7.7008358500701135
D,202306,2023-02-05,890480,-8.607745763271733
D,202307,2023-02-12,751932,-8.453219217529341
D,202308,2023-02-19,751932,-7.992977871513432
D,202309,2023-02-26,751932,-7.52402291502252
D,202310,2023-03-05,751932,-5.45051183271444
D,202311,2023-03-12,751932,-7.311713217945247
D,202312,2023-03-19,751932,-6.057875826559769
D,202313,2023-03-26,751932,-2.697087564215437
D,202314,2023-04-02,751932,-2.4950380673636126
D,202315,2023-04-09,751932,-2.58987363800159
D,202316,2023-04-16,751932,0.6478332837341902
D,202317,2023-04-23,751932,-3.0829336629568225
D,202318,2023-04-30,751932,-1.5617008079450727
D,202319,2023-05-07,751932,-6.805032738936646
D,202320,2023-05-14,751932,-6.052859744238056
D,202321,2023-05-21,751932,-6.355881712975137
D,202322,2023-05-28,751932,-7.087603416178812
D,202323,2023-06-04,751932,-9.54444455841384
D,202324,2023-06-11,751932,-10.521412665353925
D,202325,2023-06-18,751932,-5.4652086858969255
D,202326,2023-06-25,751932,-9.67998689690599
